epoch,train_loss,validation_macro_f1,validation_accuracy,learning_rate,epoch_seconds
1,0.926679814236885,0.5243973042756185,0.5735653235653235,0.001,172.66527520000818
2,0.905312193612503,0.5298607690232487,0.5802808302808303,0.001,170.63119179999921
3,0.8989165412157938,0.5337308113361435,0.5806776556776557,0.001,173.95689959998708
4,0.8949665497526214,0.5497158273081174,0.5907814407814408,0.001,173.77062789999763
5,0.890671436783549,0.5583129930287202,0.5977106227106227,0.001,173.80687620001845
6,0.8889316161907236,0.5654399516308586,0.6035714285714285,0.001,175.20776970000588
7,0.8858546751157483,0.5739811265673264,0.6084554334554334,0.001,177.63270089999423
8,0.8828664442292169,0.5561546579364599,0.5978937728937729,0.001,174.2102009000082
9,0.8801092032120572,0.5684609335946572,0.6046092796092796,0.001,172.56118479999714
10,0.8774927166781386,0.570885666292707,0.6068376068376068,0.0005,173.49035970002296
11,0.8694108345242347,0.5762752804742252,0.6122710622710623,0.0005,174.6374322999909
12,0.866527863054068,0.5698242375977575,0.6073260073260073,0.0005,170.1968637999962
13,0.8640976829903411,0.5812946413250878,0.6142551892551893,0.0005,173.5583564999979
14,0.8615403120154287,0.5763264290471146,0.6107448107448108,0.0005,171.63503410000703
15,0.8591144539229916,0.575166246825385,0.60995115995116,0.0005,171.29695869999705
16,0.8565579864130246,0.5760686670629702,0.6106837606837607,0.00025,172.31094239998492
17,0.849788511388909,0.5782597394461687,0.611965811965812,0.00025,170.14833130000625
18,0.8484502611825767,0.575309681594002,0.6097069597069598,0.00025,171.66634349999367
19,0.8455097827341799,0.5807279275853111,0.6136446886446887,0.000125,171.0493527999788
