study_area,candidate_id,validation_macro_f1,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_weighted_f1,training_seconds,parameters
Bergen,LOCAL_XGB_01,0.45939086300608306,0.5187728937728938,0.47638523225259366,0.5010300805769318,0.4708690919176059,1.3430928000016138,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Bergen,LOCAL_XGB_02,0.46985394449624285,0.5163308913308914,0.48224631759140607,0.4996492637480065,0.48032421844980283,2.558932799991453,"{""n_estimators"": 400, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_weight"": 1, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Bergen,LOCAL_XGB_03,0.47155306274317016,0.5135836385836385,0.4815672962084207,0.49757091254046776,0.48158701947686916,3.6346345999918412,"{""n_estimators"": 500, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_weight"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Bergen,LOCAL_XGB_04,0.4739876642110788,0.5146520146520146,0.48354795395917066,0.49891194975681,0.48386773701582825,2.064234999998007,"{""n_estimators"": 350, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_weight"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Bergen,LOCAL_XGB_05,0.47847684721271877,0.5146520146520146,0.48717886445483405,0.4994802235294147,0.4879440893015626,2.5676202000177,"{""n_estimators"": 400, ""learning_rate"": 0.04, ""max_depth"": 8, ""min_child_weight"": 5, ""subsample"": 0.9, ""colsample_bytree"": 0.85}"
Bergen,LOCAL_XGB_06,0.46960755683157446,0.5007631257631258,0.4731171223200004,0.4866783332789512,0.4787006154615601,3.1281450999958906,"{""n_estimators"": 350, ""learning_rate"": 0.05, ""max_depth"": 9, ""min_child_weight"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Bergen,LOCAL_XGB_07,0.4801661311798389,0.5186202686202687,0.4895579289658845,0.5033429609265226,0.4896789529185867,1.5250631000089925,"{""n_estimators"": 300, ""learning_rate"": 0.07, ""max_depth"": 6, ""min_child_weight"": 3, ""subsample"": 0.85, ""colsample_bytree"": 0.9}"
Kristiansund,LOCAL_XGB_01,0.3670213528634725,0.4662698412698413,0.4768334833892684,0.41248666185754707,0.3936970248138416,1.409153399989009,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Kristiansund,LOCAL_XGB_02,0.373369904555552,0.46260683760683763,0.46530580771652524,0.4122397578962027,0.3979620964912869,2.7395944999880157,"{""n_estimators"": 400, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_weight"": 1, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Kristiansund,LOCAL_XGB_03,0.3758947608785386,0.46321733821733824,0.46643593441989206,0.41326019575892964,0.4003367249424112,2.955354499979876,"{""n_estimators"": 500, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_weight"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Kristiansund,LOCAL_XGB_04,0.3744340222987114,0.46001221001221,0.4584455059040274,0.4099462354758095,0.4002029255173926,1.9065856999950483,"{""n_estimators"": 350, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_weight"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Kristiansund,LOCAL_XGB_05,0.37206746833161136,0.45665445665445664,0.4550819281122879,0.4071183813596017,0.3974763646831504,2.495685299974866,"{""n_estimators"": 400, ""learning_rate"": 0.04, ""max_depth"": 8, ""min_child_weight"": 5, ""subsample"": 0.9, ""colsample_bytree"": 0.85}"
Kristiansund,LOCAL_XGB_06,0.37817663866143086,0.4590964590964591,0.45530524535006817,0.4100448694440451,0.4041509922280628,2.793496400001459,"{""n_estimators"": 350, ""learning_rate"": 0.05, ""max_depth"": 9, ""min_child_weight"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Kristiansund,LOCAL_XGB_07,0.3772497165849588,0.4624542124542125,0.462901853681771,0.4129657827110807,0.4017975003180482,1.508089499984635,"{""n_estimators"": 300, ""learning_rate"": 0.07, ""max_depth"": 6, ""min_child_weight"": 3, ""subsample"": 0.85, ""colsample_bytree"": 0.9}"
Stavanger,LOCAL_XGB_01,0.4933107023333822,0.5731074481074481,0.513038106539791,0.5222666707676916,0.5459451161931196,1.500347299996065,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Stavanger,LOCAL_XGB_02,0.49018712000836856,0.5651709401709402,0.5057861032424017,0.5169238078728227,0.5418908383922121,2.6699345000088215,"{""n_estimators"": 400, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_weight"": 1, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Stavanger,LOCAL_XGB_03,0.490403766528396,0.5634920634920635,0.5116587791398278,0.5172933116678903,0.5410965676123359,3.0893952999904286,"{""n_estimators"": 500, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_weight"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Stavanger,LOCAL_XGB_04,0.4936956390244192,0.5612026862026862,0.515421800507657,0.5194321134606108,0.5426237160098879,2.201844600000186,"{""n_estimators"": 350, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_weight"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Stavanger,LOCAL_XGB_05,0.49037369828621946,0.5608974358974359,0.5042508560876348,0.5157149090072796,0.5417277964022892,2.7687901000026613,"{""n_estimators"": 400, ""learning_rate"": 0.04, ""max_depth"": 8, ""min_child_weight"": 5, ""subsample"": 0.9, ""colsample_bytree"": 0.85}"
Stavanger,LOCAL_XGB_06,0.48767341290953503,0.5564713064713065,0.5057354910447304,0.5128607129096853,0.5374072231063853,3.065852699975949,"{""n_estimators"": 350, ""learning_rate"": 0.05, ""max_depth"": 9, ""min_child_weight"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Stavanger,LOCAL_XGB_07,0.4885070061405985,0.561050061050061,0.5088334261872305,0.5156579747496018,0.5393494931340246,1.5867563000065275,"{""n_estimators"": 300, ""learning_rate"": 0.07, ""max_depth"": 6, ""min_child_weight"": 3, ""subsample"": 0.85, ""colsample_bytree"": 0.9}"
Tromsø,LOCAL_XGB_01,0.6715079860608281,0.7301587301587301,0.6659364471171533,0.6786025347964503,0.7326962342018803,1.505956500011962,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Tromsø,LOCAL_XGB_02,0.6692591431236444,0.729090354090354,0.6632200331707803,0.6774528707885409,0.7332893008096073,2.527128999994602,"{""n_estimators"": 400, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_weight"": 1, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Tromsø,LOCAL_XGB_03,0.6706346568025955,0.7287851037851037,0.6647298499758324,0.6787541266949136,0.7335665027782288,3.191374199988786,"{""n_estimators"": 500, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_weight"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Tromsø,LOCAL_XGB_04,0.6666969062513713,0.7263431013431013,0.6605517865400762,0.6754517922555082,0.7315254456978353,2.094516699988162,"{""n_estimators"": 350, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_weight"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
